925 reqs/sec
failed 5029


cd /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom; JAVA_HOME=/usr/lib/jvm/java-1.21.0-openjdk-amd64 /snap/netbeans/84/netbeans/java/maven/bin/mvn -Dexec.vmArgs= "-Dexec.args=${exec.vmArgs} -classpath %classpath ${exec.mainClass} ${exec.appArgs}" -Dexec.executable=/usr/lib/jvm/java-1.21.0-openjdk-amd64/bin/java -Dexec.mainClass=fish.payara.codingdojo.playwithloom.ServerWithLoom -Dexec.classpathScope=runtime -DskipTests=true -Dexec.appArgs= process-classes org.codehaus.mojo:exec-maven-plugin:3.1.0:exec

Some problems were encountered while building the effective settings
Unrecognised tag: 'url' (position: START_TAG seen ...</name>-->\n            <url>... @54:18)  @ /home/aubi/.m2/settings.xml, line 54, column 18

Scanning for projects...

----------------< fish.payara.codingdojo:PlayWithLoom >-----------------
Building PlayWithLoom 1.0-SNAPSHOT
  from pom.xml
--------------------------------[ jar ]---------------------------------

--- resources:3.3.1:resources (default-resources) @ PlayWithLoom ---
skip non existing resourceDirectory /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom/src/main/resources

--- compiler:3.11.0:compile (default-compile) @ PlayWithLoom ---
Nothing to compile - all classes are up to date

--- exec:3.1.0:exec (default-cli) @ PlayWithLoom ---
Server is listening on port 8080
2023-11-02T14:39:47.298173428  Counter:   266 ->    63 (  204 running,   243 max)
2023-11-02T14:39:47.298193752  Counter:   266 ->    63 (  203 running,   243 max)
2023-11-02T14:39:47.298508806  Counter:   268 ->    65 (  204 running,   243 max)
2023-11-02T14:39:47.298523054  Counter:   268 ->    65 (  203 running,   243 max)
2023-11-02T14:39:47.298718051  Counter:   269 ->    67 (  201 running,   243 max)
2023-11-02T14:39:47.29878894   Counter:   270 ->    68 (  201 running,   243 max)
2023-11-02T14:39:47.298889721  Counter:   270 ->    69 (  201 running,   243 max)
2023-11-02T14:39:47.299005099  Counter:   270 ->    70 (  200 running,   243 max)
2023-11-02T14:39:47.299160775  Counter:   270 ->    73 (  199 running,   243 max)
2023-11-02T14:39:47.299176419  Counter:   270 ->    73 (  198 running,   243 max)
2023-11-02T14:39:47.299190178  Counter:   271 ->    73 (  197 running,   243 max)
2023-11-02T14:39:47.299279086  Counter:   272 ->    74 (  198 running,   243 max)
2023-11-02T14:39:47.29938748   Counter:   272 ->    75 (  197 running,   243 max)
2023-11-02T14:39:47.299566763  Counter:   272 ->    76 (  196 running,   243 max)
2023-11-02T14:39:47.299628712  Counter:   272 ->    79 (  195 running,   243 max)
2023-11-02T14:39:47.299632972  Counter:   272 ->    79 (  194 running,   243 max)
2023-11-02T14:39:47.299657556  Counter:   273 ->    79 (  193 running,   243 max)
2023-11-02T14:39:47.299751283  Counter:   274 ->    80 (  194 running,   243 max)
2023-11-02T14:39:47.299863379  Counter:   274 ->    81 (  193 running,   243 max)
2023-11-02T14:39:47.299945233  Counter:   275 ->    82 (  192 running,   243 max)
2023-11-02T14:39:47.300072972  Counter:   275 ->    86 (  192 running,   243 max)
2023-11-02T14:39:47.30008289   Counter:   275 ->    86 (  191 running,   243 max)
2023-11-02T14:39:47.300084776  Counter:   275 ->    86 (  190 running,   243 max)
2023-11-02T14:39:47.300098045  Counter:   276 ->    86 (  189 running,   243 max)
2023-11-02T14:39:47.300224388  Counter:   277 ->    87 (  190 running,   243 max)
