908.33 reqs/sec

50	270
66	475
75	543
80	619
90	1468
95	1731
98	2607
99	3211
100	8426





cd /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom; JAVA_HOME=/usr/lib/jvm/java-1.21.0-openjdk-amd64 /snap/netbeans/84/netbeans/java/maven/bin/mvn -Dexec.vmArgs= "-Dexec.args=${exec.vmArgs} -classpath %classpath ${exec.mainClass} ${exec.appArgs}" -Dexec.executable=/usr/lib/jvm/java-1.21.0-openjdk-amd64/bin/java -Dexec.mainClass=fish.payara.codingdojo.playwithloom.ServerWithLoom -Dexec.classpathScope=runtime -DskipTests=true -Dexec.appArgs= process-classes org.codehaus.mojo:exec-maven-plugin:3.1.0:exec

Some problems were encountered while building the effective settings
Unrecognised tag: 'url' (position: START_TAG seen ...</name>-->\n            <url>... @54:18)  @ /home/aubi/.m2/settings.xml, line 54, column 18

Scanning for projects...

----------------< fish.payara.codingdojo:PlayWithLoom >-----------------
Building PlayWithLoom 1.0-SNAPSHOT
  from pom.xml
--------------------------------[ jar ]---------------------------------

--- resources:3.3.1:resources (default-resources) @ PlayWithLoom ---
skip non existing resourceDirectory /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom/src/main/resources

--- compiler:3.11.0:compile (default-compile) @ PlayWithLoom ---
Nothing to compile - all classes are up to date

--- exec:3.1.0:exec (default-cli) @ PlayWithLoom ---
Server is listening on port 8080
2023-11-02T14:25:56.554075573  Counter:   136 ->    62 (   74 running,   121 max)
2023-11-02T14:25:56.554444545  Counter:   138 ->    64 (   75 running,   121 max)
2023-11-02T14:25:56.554456418  Counter:   138 ->    64 (   74 running,   121 max)
2023-11-02T14:25:56.554777199  Counter:   140 ->    66 (   75 running,   121 max)
2023-11-02T14:25:56.554793333  Counter:   141 ->    66 (   74 running,   121 max)
2023-11-02T14:25:56.554854234  Counter:   142 ->    67 (   74 running,   121 max)
2023-11-02T14:25:56.555110692  Counter:   142 ->    68 (   74 running,   121 max)
2023-11-02T14:25:56.555339701  Counter:   143 ->    69 (   74 running,   121 max)
2023-11-02T14:25:56.555659086  Counter:   144 ->    70 (   74 running,   121 max)
2023-11-02T14:25:56.555976514  Counter:   146 ->    72 (   75 running,   121 max)
2023-11-02T14:25:56.55598741   Counter:   146 ->    72 (   74 running,   121 max)
2023-11-02T14:25:56.556331797  Counter:   148 ->    74 (   74 running,   121 max)
2023-11-02T14:25:56.55664315   Counter:   150 ->    75 (   75 running,   121 max)
2023-11-02T14:25:56.557510369  Counter:   152 ->    76 (   76 running,   121 max)
2023-11-02T14:25:56.544893326  Counter:   154 ->    76 (  115 running,   121 max)
2023-11-02T14:25:56.55955239   Counter:   154 ->    77 (   77 running,   121 max)
2023-11-02T14:25:56.560460816  Counter:   156 ->    78 (   78 running,   121 max)
2023-11-02T14:25:56.548189906  Counter:   158 ->    78 (   87 running,   121 max)
2023-11-02T14:25:56.622501274  Counter:   159 ->    80 (   79 running,   121 max)
2023-11-02T14:25:56.622501274  Counter:   159 ->    80 (   79 running,   121 max)
2023-11-02T14:25:56.622965369  Counter:   160 ->    81 (   79 running,   121 max)
2023-11-02T14:25:56.623351941  Counter:   161 ->    82 (   79 running,   121 max)
2023-11-02T14:25:56.624043649  Counter:   163 ->    83 (   80 running,   121 max)
2023-11-02T14:25:56.624501599  Counter:   164 ->    84 (   80 running,   121 max)
2023-11-02T14:25:56.625225504  Counter:   166 ->    85 (   81 running,   121 max)
2023-11-02T14:25:56.625923288  Counter:   169 ->    86 (   83 running,   121 max)
